,time,BBDC4,GGBR4,MGLU3
0,2022-02-01T10:00:00-03:00,22.85,27.83,7.29
1,2022-02-01T11:00:00-03:00,22.85,28.08,7.09
2,2022-02-01T12:00:00-03:00,23.02,28.46,6.92
3,2022-02-01T13:00:00-03:00,22.87,28.33,7.12
4,2022-02-01T14:00:00-03:00,22.89,28.63,7.08
5,2022-02-01T15:00:00-03:00,22.89,28.67,7.08
6,2022-02-01T16:00:00-03:00,22.87,28.81,7.04
7,2022-02-01T17:00:00-03:00,22.89,28.8,6.97
8,2022-02-01T18:00:00-03:00,22.88,28.73,7.01
9,2022-02-02T10:00:00-03:00,22.5,28.89,6.96
10,2022-02-02T11:00:00-03:00,22.47,28.67,6.76
11,2022-02-02T12:00:00-03:00,22.54,29.02,6.63
12,2022-02-02T13:00:00-03:00,22.42,28.99,6.65
13,2022-02-02T14:00:00-03:00,22.41,29.03,6.66
14,2022-02-02T15:00:00-03:00,22.43,28.97,6.53
15,2022-02-02T16:00:00-03:00,22.41,29.06,6.62
16,2022-02-02T17:00:00-03:00,22.44,28.95,6.54
18,2022-02-03T10:00:00-03:00,22.35,28.92,6.42
19,2022-02-03T11:00:00-03:00,22.47,28.92,6.53
20,2022-02-03T12:00:00-03:00,22.44,29.0,6.58
21,2022-02-03T13:00:00-03:00,22.49,28.72,6.59
22,2022-02-03T14:00:00-03:00,22.77,28.69,6.55
23,2022-02-03T15:00:00-03:00,22.86,28.55,6.52
24,2022-02-03T16:00:00-03:00,22.81,28.57,6.51
25,2022-02-03T17:00:00-03:00,22.78,28.63,6.49
27,2022-02-04T10:00:00-03:00,22.8,28.31,6.29
28,2022-02-04T11:00:00-03:00,22.88,28.54,6.32
29,2022-02-04T12:00:00-03:00,22.87,28.62,6.25
30,2022-02-04T13:00:00-03:00,22.91,28.78,6.31
31,2022-02-04T14:00:00-03:00,23.05,28.73,6.28
32,2022-02-04T15:00:00-03:00,22.96,28.64,6.31
33,2022-02-04T16:00:00-03:00,22.94,28.55,6.29
34,2022-02-04T17:00:00-03:00,23.02,28.75,6.32
35,2022-02-04T18:00:00-03:00,22.93,28.78,6.33
36,2022-02-07T10:00:00-03:00,22.88,29.07,6.37
37,2022-02-07T11:00:00-03:00,22.95,28.79,6.49
38,2022-02-07T12:00:00-03:00,22.98,28.79,6.44
39,2022-02-07T13:00:00-03:00,23.08,28.84,6.41
40,2022-02-07T14:00:00-03:00,23.05,28.93,6.38
41,2022-02-07T15:00:00-03:00,23.03,29.13,6.41
42,2022-02-07T16:00:00-03:00,22.93,29.32,6.38
43,2022-02-07T17:00:00-03:00,22.86,29.11,6.32
44,2022-02-07T18:00:00-03:00,22.85,29.2,6.31
45,2022-02-08T10:00:00-03:00,22.72,28.56,6.3
46,2022-02-08T11:00:00-03:00,22.8,28.62,6.34
47,2022-02-08T12:00:00-03:00,22.59,28.68,6.4
48,2022-02-08T13:00:00-03:00,22.61,28.76,6.47
49,2022-02-08T14:00:00-03:00,22.62,28.87,6.49
50,2022-02-08T15:00:00-03:00,22.56,28.81,6.49
51,2022-02-08T16:00:00-03:00,22.6,28.73,6.46
52,2022-02-08T17:00:00-03:00,22.73,28.95,6.52
54,2022-02-09T10:00:00-03:00,21.13,28.85,6.6
55,2022-02-09T11:00:00-03:00,21.03,29.11,6.57
56,2022-02-09T12:00:00-03:00,21.12,29.24,6.55
57,2022-02-09T13:00:00-03:00,20.89,29.1,6.43
58,2022-02-09T14:00:00-03:00,20.99,29.09,6.48
59,2022-02-09T15:00:00-03:00,20.93,28.91,6.53
60,2022-02-09T16:00:00-03:00,20.81,28.93,6.58
